accepted,clicked_profile,collectionId,collectionName,created,from_user,id,invited,rank_in_list,rejected,responded,rule_score,session_id,shown,shown_at,to_user,updated,f_clicked_profile,f_exposure_p,f_home_court,f_intensity,f_level,f_mode,f_rank_shown,f_response,f_session_id,f_shown_at,f_sim_p_click,f_sim_p_dismiss,f_sim_p_invited,f_style,f_synthetic_version,f_invited_at,f_sim_p_accepted,f_dismiss_reason,f_combined_score,f_court,f_habit,f_ml_prob,f_role,f_rule_score,f_forced_invite,is_top3,label_invited,label_accepted
0,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.921Z,f0l4zk5vssqr3pc,saem4xst8gmo2oq,0,1,0,0,100.0,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,m04r91rb0yjvb0k,2025-12-18 23:17:35.027Z,True,0.939,25.0,30.0,20,friend,1.0,no_invite,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.72,0.123,0.5,25.0,v4_funnel_seed,,,,,,,,,,,True,0,0
0,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.925Z,f0l4zk5vssqr3pc,seyfq94282utnos,0,2,0,0,83.33,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,r3ziumbw0rf3tns,2025-12-18 23:17:35.036Z,True,0.826,25.0,30.0,20,friend,2.0,no_invite,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.717,0.157,0.5,8.333333333333332,v4_funnel_seed,,,,,,,,,,,True,0,0
1,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.929Z,f0l4zk5vssqr3pc,jxyf8gqk8dciyh4,1,3,0,1,75.0,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,6pt0amnv2okp9f2,2025-12-18 23:17:35.050Z,True,0.704,25.0,15.0,20,friend,3.0,accepted,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.64,0.174,0.5,15.0,v4_funnel_seed,2025-12-18T23:17:35.044958+00:00,0.682,,,,,,,,,True,1,1
0,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.932Z,f0l4zk5vssqr3pc,n2gl6jva8rtibrw,0,4,0,0,74.0,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,ao3w1k5dg3m3f3a,2025-12-18 23:17:35.059Z,True,0.594,25.0,30.0,4,friend,4.0,no_invite,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.595,0.173,0.5,15.0,v4_funnel_seed,,,,,,,,,,,False,0,0
0,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.935Z,f0l4zk5vssqr3pc,nb5ytqr2fkz34pb,0,5,1,1,74.0,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,r27fl71044rssvx,2025-12-18 23:17:35.068Z,True,0.5,25.0,30.0,4,friend,5.0,,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.56,0.17,,15.0,v4_funnel_seed,,,other,,,,,,,,False,0,0
0,1,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.937Z,f0l4zk5vssqr3pc,3tka4buwm48igf5,1,6,0,1,72.5,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,qvccwk1d98c7jjr,2025-12-18 23:17:35.080Z,True,0.423,25.0,15.0,20,friend,6.0,ignored,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,0.523,0.171,0.369,12.5,v4_funnel_seed,2025-12-18T23:17:35.075121+00:00,0.631,,,,,,,,,False,1,0
0,0,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.940Z,f0l4zk5vssqr3pc,5yc83anjixmzgiq,0,7,0,0,71.5,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,7s0e3d1rmrpemb0,2025-12-18 23:17:35.083Z,,0.361,25.0,30.0,4,friend,7.0,,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,,,,12.5,v4_funnel_seed,,,,,,,,,,,False,0,0
0,0,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.942Z,f0l4zk5vssqr3pc,wcuv5f84ahoooa2,0,8,0,0,70.0,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,fxaoqge1eg72674,2025-12-18 23:17:35.087Z,,0.31,25.0,15.0,20,friend,8.0,,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,,,,10.0,v4_funnel_seed,,,,,,,,,,,False,0,0
0,0,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.945Z,f0l4zk5vssqr3pc,9n5t83oixlhd8h8,0,9,0,0,68.75,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,8cvqvtsdoyo4f37,2025-12-18 23:17:35.090Z,,0.269,0.0,30.0,20,friend,9.0,,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,,,,18.75,v4_funnel_seed,,,,,,,,,,,False,0,0
0,0,pbc_3452021157,recommendation_logs,2025-12-18 23:17:34.948Z,f0l4zk5vssqr3pc,8f68m0va6aujgq7,0,10,0,0,68.75,2f8ffcca-594a-457c-81f8-3ad60df40e3f,1,2025-12-18 23:17:35.011Z,oox9rdrdgkf2xed,2025-12-18 23:17:35.093Z,,0.235,0.0,30.0,20,friend,10.0,,2f8ffcca-594a-457c-81f8-3ad60df40e3f,2025-12-18T23:17:35.011308+00:00,,,,18.75,v4_funnel_seed,,,,,,,,,,,False,0,0
