accepted,collectionId,collectionName,created,features,from_user,id,invited,rank_in_list,rule_score,to_user,updated
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.847Z,"{'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.527, 'sim_p_invited': 0.518, 'style': 12.5, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,tdhm9dayi2q7niz,True,1,87.5,frv5pryujwkm8l0,2025-12-05 10:19:46.419Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.850Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.414, 'sim_p_invited': 0.394, 'style': 8.333333333333332, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,lg03jvhkirvmiat,True,2,75.33,j6d2unzsgjnca53,2025-12-05 10:19:46.423Z
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.853Z,"{'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.412, 'sim_p_invited': 0.364, 'style': 0, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,l3rdztdjix5glef,True,3,75,ndjffn1dch3g61g,2025-12-05 10:19:46.426Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.855Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.04, 'sim_p_invited': 0.325, 'style': 6.25, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,to92ji8d0lq018u,False,4,73.25,exi49w6ujkvhfkm,2025-12-05 10:19:46.432Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.858Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.04, 'sim_p_invited': 0.298, 'style': 6.25, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,gv11zbp78jn9vqv,False,5,73.25,mjjc7v3n31aotyb,2025-12-05 10:19:46.434Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.862Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.379, 'sim_p_invited': 0.261, 'style': 4.166666666666666, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,ko0tmmcmb54d9u9,True,6,71.17,nw67559cmzqpmg6,2025-12-05 10:19:46.436Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.864Z,"{'home_court': 25, 'intensity': 0, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.037, 'sim_p_invited': 0.23, 'style': 25, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,v5zfegu6y7sext8,False,7,70,f5a7b6j49a6okh4,2025-12-05 10:19:46.440Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.867Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.037, 'sim_p_invited': 0.204, 'style': 10, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,wmmsk6qyk35pukz,False,8,70,6i37noohqqre72v,2025-12-05 10:19:46.443Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.869Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.037, 'sim_p_invited': 0.179, 'style': 10, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,vpbyr6rbftwqnlo,False,9,70,pn5jlqxgrfpwe4a,2025-12-05 10:19:46.446Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.875Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.036, 'sim_p_invited': 0.15, 'style': 10, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,9z3d7gf5jehrafs,False,10,69,v73dpwrjj6nyxfy,2025-12-05 10:19:46.448Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.879Z,"{'home_court': 25, 'intensity': 15, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.035, 'sim_p_invited': 0.121, 'style': 15, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,p5guclxqny5xtj0,False,11,67,kcz8yog46r9t0v7,2025-12-05 10:19:46.451Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.881Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.034, 'sim_p_invited': 0.095, 'style': 6.25, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,y4jaoilw3u50gb3,False,12,66.25,en86lcto321dxpw,2025-12-05 10:19:46.453Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.884Z,"{'home_court': 0, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.041, 'sim_p_invited': 0.083, 'style': 15, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,ynkhc1ad33xpnsn,False,13,65,nx5cc8xcxw20tll,2025-12-05 10:19:46.456Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.888Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.033, 'sim_p_invited': 0.07, 'style': 5, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,ho9viu564yomye6,False,14,65,732vp5dpm1k1u0s,2025-12-05 10:19:46.459Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.890Z,"{'home_court': 0, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.041, 'sim_p_invited': 0.083, 'style': 15, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,l39zxhphlwxrn0y,False,15,65,1h76vy83vjei34g,2025-12-05 10:19:46.461Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.892Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.032, 'sim_p_invited': 0.068, 'style': 4.166666666666666, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,0kjj5zh34x7ktli,False,16,64.17,jkoh32rzs8rlocp,2025-12-05 10:19:46.463Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.895Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.032, 'sim_p_invited': 0.068, 'style': 5, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,ef29c81nh0nai7p,False,17,64,85ezec0w8jbehfp,2025-12-05 10:19:46.466Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.897Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.032, 'sim_p_invited': 0.067, 'style': 4.166666666666666, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,p97hq3tzxzmhp7x,False,18,63.17,22yjvypgnr6j8to,2025-12-05 10:19:46.469Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.899Z,"{'home_court': 0, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.039, 'sim_p_invited': 0.079, 'style': 12.5, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,gko0pe1x1csbbim,False,19,62.5,ujsl67dn3wwhful,2025-12-05 10:19:46.471Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.901Z,"{'home_court': 0, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.037, 'sim_p_invited': 0.076, 'style': 18.75, 'synthetic_version': 'v2_advanced'}",9zdkp0fcan9uxmh,uxt5btdyn2aiuk2,False,20,60.75,stjnjtpxnldzjyg,2025-12-05 10:19:46.474Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.953Z,"{'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.059, 'sim_p_invited': 0.571, 'style': 18.75, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,xqlkiiiwxeoscpu,False,1,93.75,7651cs6lffuc5cg,2025-12-05 10:19:46.476Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.956Z,"{'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.049, 'sim_p_invited': 0.452, 'style': 8.333333333333332, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,62ocr73553fbp5x,False,2,83.33,oufxzpuzo2z3tl9,2025-12-05 10:19:46.479Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.958Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.047, 'sim_p_invited': 0.41, 'style': 15, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,2r9f7ntv8lb7sgm,False,3,82,og2kv4sjkqh1h2j,2025-12-05 10:19:46.480Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.960Z,"{'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.046, 'sim_p_invited': 0.366, 'style': 5, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,l7iph3er1q3uvbn,False,4,80,ueflkxf8h78wvu6,2025-12-05 10:19:46.484Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.963Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.041, 'sim_p_invited': 0.31, 'style': 8.333333333333332, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,z4tovkggsyr34nt,False,5,75.33,66dor2b1bkc7qt8,2025-12-05 10:19:46.486Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.965Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.412, 'sim_p_invited': 0.28, 'style': 15, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,f4akczu50lc6z3m,True,6,75,ao3w1k5dg3m3f3a,2025-12-05 10:19:46.489Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.967Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.04, 'sim_p_invited': 0.247, 'style': 15, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,t8xd6lztjfcu5cm,False,7,74,6pt0amnv2okp9f2,2025-12-05 10:19:46.491Z
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.970Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.382, 'sim_p_invited': 0.21, 'style': 12.5, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,uuc8m5qlwgwh3dr,True,8,71.5,qvccwk1d98c7jjr,2025-12-05 10:19:46.494Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.972Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.038, 'sim_p_invited': 0.183, 'style': 4.166666666666666, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,xg62b99tx1jryhw,False,9,71.17,cyqqf5y5xk6b3g0,2025-12-05 10:19:46.498Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.974Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.036, 'sim_p_invited': 0.15, 'style': 10, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,24t3eo68zaw8ytw,False,10,69,fxaoqge1eg72674,2025-12-05 10:19:46.501Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.977Z,"{'home_court': 0, 'intensity': 30, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.044, 'sim_p_invited': 0.147, 'style': 18.75, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,kg6yn6hbn5o8mpl,False,11,68.75,2qe8cy8dsxcntxw,2025-12-05 10:19:46.504Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.979Z,"{'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'sim_p_accepted': 0.036, 'sim_p_invited': 0.099, 'style': 8.333333333333332, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,iams2g6gf5n95xd,False,12,68.33,r27fl71044rssvx,2025-12-05 10:19:46.506Z
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.981Z,"{'home_court': 25, 'intensity': 30, 'level': 4, 'mode': 'friend', 'sim_p_accepted': 0.348, 'sim_p_invited': 0.073, 'style': 8.333333333333332, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,7x9z60qxlrm9pja,True,13,67.33,5qt1985hy147vbh,2025-12-05 10:19:46.509Z
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.984Z,"{'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'sim_p_accepted': 0.035, 'sim_p_invited': 0.072, 'style': 0, 'synthetic_version': 'v2_advanced'}",gyc8dhvum70lq25,ebpqgiol8vlgmml,False,14,67,2tokedc0o5e65bz,2025-12-05 10:19:46.513Z
