accepted,collectionId,collectionName,created,from_user,id,invited,rank_in_list,rule_score,to_user,updated,home_court,intensity,level,mode,sim_p_accepted,sim_p_invited,style,synthetic_version,court,habit,role,is_top3,label_accepted
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.847Z,9zdkp0fcan9uxmh,tdhm9dayi2q7niz,True,1,87.5,frv5pryujwkm8l0,2025-12-05 10:19:46.419Z,25.0,30.0,20,friend,0.527,0.518,12.5,v2_advanced,,,,True,1
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.850Z,9zdkp0fcan9uxmh,lg03jvhkirvmiat,True,2,75.33,j6d2unzsgjnca53,2025-12-05 10:19:46.423Z,25.0,30.0,12,friend,0.414,0.394,8.333333333333332,v2_advanced,,,,True,0
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.853Z,9zdkp0fcan9uxmh,l3rdztdjix5glef,True,3,75.0,ndjffn1dch3g61g,2025-12-05 10:19:46.426Z,25.0,30.0,20,friend,0.412,0.364,0.0,v2_advanced,,,,True,1
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.855Z,9zdkp0fcan9uxmh,to92ji8d0lq018u,False,4,73.25,exi49w6ujkvhfkm,2025-12-05 10:19:46.432Z,25.0,30.0,12,friend,0.04,0.325,6.25,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.858Z,9zdkp0fcan9uxmh,gv11zbp78jn9vqv,False,5,73.25,mjjc7v3n31aotyb,2025-12-05 10:19:46.434Z,25.0,30.0,12,friend,0.04,0.298,6.25,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.862Z,9zdkp0fcan9uxmh,ko0tmmcmb54d9u9,True,6,71.17,nw67559cmzqpmg6,2025-12-05 10:19:46.436Z,25.0,30.0,12,friend,0.379,0.261,4.166666666666666,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.864Z,9zdkp0fcan9uxmh,v5zfegu6y7sext8,False,7,70.0,f5a7b6j49a6okh4,2025-12-05 10:19:46.440Z,25.0,0.0,20,friend,0.037,0.23,25.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.867Z,9zdkp0fcan9uxmh,wmmsk6qyk35pukz,False,8,70.0,6i37noohqqre72v,2025-12-05 10:19:46.443Z,25.0,15.0,20,friend,0.037,0.204,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.869Z,9zdkp0fcan9uxmh,vpbyr6rbftwqnlo,False,9,70.0,pn5jlqxgrfpwe4a,2025-12-05 10:19:46.446Z,25.0,15.0,20,friend,0.037,0.179,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.875Z,9zdkp0fcan9uxmh,9z3d7gf5jehrafs,False,10,69.0,v73dpwrjj6nyxfy,2025-12-05 10:19:46.448Z,25.0,30.0,4,friend,0.036,0.15,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.879Z,9zdkp0fcan9uxmh,p5guclxqny5xtj0,False,11,67.0,kcz8yog46r9t0v7,2025-12-05 10:19:46.451Z,25.0,15.0,12,friend,0.035,0.121,15.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.881Z,9zdkp0fcan9uxmh,y4jaoilw3u50gb3,False,12,66.25,en86lcto321dxpw,2025-12-05 10:19:46.453Z,25.0,15.0,20,friend,0.034,0.095,6.25,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.884Z,9zdkp0fcan9uxmh,ynkhc1ad33xpnsn,False,13,65.0,nx5cc8xcxw20tll,2025-12-05 10:19:46.456Z,0.0,30.0,20,friend,0.041,0.083,15.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.888Z,9zdkp0fcan9uxmh,ho9viu564yomye6,False,14,65.0,732vp5dpm1k1u0s,2025-12-05 10:19:46.459Z,25.0,15.0,20,friend,0.033,0.07,5.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.890Z,9zdkp0fcan9uxmh,l39zxhphlwxrn0y,False,15,65.0,1h76vy83vjei34g,2025-12-05 10:19:46.461Z,0.0,30.0,20,friend,0.041,0.083,15.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.892Z,9zdkp0fcan9uxmh,0kjj5zh34x7ktli,False,16,64.17,jkoh32rzs8rlocp,2025-12-05 10:19:46.463Z,25.0,15.0,20,friend,0.032,0.068,4.166666666666666,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.895Z,9zdkp0fcan9uxmh,ef29c81nh0nai7p,False,17,64.0,85ezec0w8jbehfp,2025-12-05 10:19:46.466Z,25.0,30.0,4,friend,0.032,0.068,5.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.897Z,9zdkp0fcan9uxmh,p97hq3tzxzmhp7x,False,18,63.17,22yjvypgnr6j8to,2025-12-05 10:19:46.469Z,25.0,30.0,4,friend,0.032,0.067,4.166666666666666,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.899Z,9zdkp0fcan9uxmh,gko0pe1x1csbbim,False,19,62.5,ujsl67dn3wwhful,2025-12-05 10:19:46.471Z,0.0,30.0,20,friend,0.039,0.079,12.5,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.901Z,9zdkp0fcan9uxmh,uxt5btdyn2aiuk2,False,20,60.75,stjnjtpxnldzjyg,2025-12-05 10:19:46.474Z,0.0,30.0,12,friend,0.037,0.076,18.75,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.953Z,gyc8dhvum70lq25,xqlkiiiwxeoscpu,False,1,93.75,7651cs6lffuc5cg,2025-12-05 10:19:46.476Z,25.0,30.0,20,friend,0.059,0.571,18.75,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.956Z,gyc8dhvum70lq25,62ocr73553fbp5x,False,2,83.33,oufxzpuzo2z3tl9,2025-12-05 10:19:46.479Z,25.0,30.0,20,friend,0.049,0.452,8.333333333333332,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.958Z,gyc8dhvum70lq25,2r9f7ntv8lb7sgm,False,3,82.0,og2kv4sjkqh1h2j,2025-12-05 10:19:46.480Z,25.0,30.0,12,friend,0.047,0.41,15.0,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.960Z,gyc8dhvum70lq25,l7iph3er1q3uvbn,False,4,80.0,ueflkxf8h78wvu6,2025-12-05 10:19:46.484Z,25.0,30.0,20,friend,0.046,0.366,5.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.963Z,gyc8dhvum70lq25,z4tovkggsyr34nt,False,5,75.33,66dor2b1bkc7qt8,2025-12-05 10:19:46.486Z,25.0,30.0,12,friend,0.041,0.31,8.333333333333332,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.965Z,gyc8dhvum70lq25,f4akczu50lc6z3m,True,6,75.0,ao3w1k5dg3m3f3a,2025-12-05 10:19:46.489Z,25.0,15.0,20,friend,0.412,0.28,15.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.967Z,gyc8dhvum70lq25,t8xd6lztjfcu5cm,False,7,74.0,6pt0amnv2okp9f2,2025-12-05 10:19:46.491Z,25.0,30.0,4,friend,0.04,0.247,15.0,v2_advanced,,,,False,0
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.970Z,gyc8dhvum70lq25,uuc8m5qlwgwh3dr,True,8,71.5,qvccwk1d98c7jjr,2025-12-05 10:19:46.494Z,25.0,30.0,4,friend,0.382,0.21,12.5,v2_advanced,,,,False,1
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.972Z,gyc8dhvum70lq25,xg62b99tx1jryhw,False,9,71.17,cyqqf5y5xk6b3g0,2025-12-05 10:19:46.498Z,25.0,30.0,12,friend,0.038,0.183,4.166666666666666,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.974Z,gyc8dhvum70lq25,24t3eo68zaw8ytw,False,10,69.0,fxaoqge1eg72674,2025-12-05 10:19:46.501Z,25.0,30.0,4,friend,0.036,0.15,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.977Z,gyc8dhvum70lq25,kg6yn6hbn5o8mpl,False,11,68.75,2qe8cy8dsxcntxw,2025-12-05 10:19:46.504Z,0.0,30.0,20,friend,0.044,0.147,18.75,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.979Z,gyc8dhvum70lq25,iams2g6gf5n95xd,False,12,68.33,r27fl71044rssvx,2025-12-05 10:19:46.506Z,25.0,15.0,20,friend,0.036,0.099,8.333333333333332,v2_advanced,,,,False,0
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.981Z,gyc8dhvum70lq25,7x9z60qxlrm9pja,True,13,67.33,5qt1985hy147vbh,2025-12-05 10:19:46.509Z,25.0,30.0,4,friend,0.348,0.073,8.333333333333332,v2_advanced,,,,False,1
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.984Z,gyc8dhvum70lq25,ebpqgiol8vlgmml,False,14,67.0,2tokedc0o5e65bz,2025-12-05 10:19:46.513Z,25.0,30.0,12,friend,0.035,0.072,0.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.986Z,gyc8dhvum70lq25,ujhbcc96ygk309j,False,15,67.0,hx5y1jwd3sd3a7t,2025-12-05 10:19:46.516Z,25.0,15.0,12,friend,0.035,0.072,15.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.988Z,gyc8dhvum70lq25,maghehfyerwkr5v,True,16,67.0,ip2xjgllnhnhsvs,2025-12-05 10:19:46.519Z,25.0,30.0,12,friend,0.345,0.072,0.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.991Z,gyc8dhvum70lq25,kstrs5fz7x2hs71,False,17,66.25,s9e21voho25djld,2025-12-05 10:19:46.522Z,25.0,15.0,20,friend,0.034,0.071,6.25,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.993Z,gyc8dhvum70lq25,1qk4u1rs0kh3m1a,False,18,65.25,hipn12d6hlvx5w6,2025-12-05 10:19:46.524Z,25.0,30.0,4,friend,0.033,0.07,6.25,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.995Z,gyc8dhvum70lq25,p0iwq2hyvreoflt,False,19,65.0,7s0e3d1rmrpemb0,2025-12-05 10:19:46.527Z,25.0,15.0,20,friend,0.033,0.07,5.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:45.998Z,gyc8dhvum70lq25,hihfnszb0w7gkh9,False,20,63.75,0ef0kb9d3ulaezy,2025-12-05 10:19:46.530Z,25.0,0.0,20,friend,0.032,0.068,18.75,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.023Z,mt56872w8tngo2i,fep6saqhm80vlax,True,1,91.67,sh7otuxydszlhx4,2025-12-05 10:19:46.533Z,25.0,30.0,20,friend,0.568,0.553,16.666666666666664,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.026Z,mt56872w8tngo2i,ynxje6i9f3ymr6x,False,2,85.0,0edtk2tg22e8juy,2025-12-05 10:19:46.535Z,25.0,30.0,20,friend,0.05,0.464,10.0,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.029Z,mt56872w8tngo2i,dvy96krni7irzo3,False,3,80.0,4hrs8viwx0b5ckv,2025-12-05 10:19:46.538Z,25.0,30.0,20,friend,0.046,0.397,5.0,v2_advanced,,,,True,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.031Z,mt56872w8tngo2i,l72wj572bhobsf5,False,4,77.0,m93g4wkh7q5jzy2,2025-12-05 10:19:46.540Z,25.0,30.0,12,friend,0.043,0.348,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.033Z,mt56872w8tngo2i,19vhvr626u5vaoj,False,5,75.0,gx6yyxp5bmogkef,2025-12-05 10:19:46.542Z,25.0,30.0,20,friend,0.041,0.308,0.0,v2_advanced,,,,False,0
True,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.035Z,mt56872w8tngo2i,0qwjtc98niqq0eg,True,6,73.25,2nuewm90ekdtlgp,2025-12-05 10:19:46.545Z,25.0,30.0,12,friend,0.397,0.271,6.25,v2_advanced,,,,False,1
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.038Z,mt56872w8tngo2i,ntut6fw48kuwygm,False,7,72.0,frbz12jvqu7wjrv,2025-12-05 10:19:46.548Z,25.0,30.0,12,friend,0.039,0.239,5.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.040Z,mt56872w8tngo2i,y50zjk0ppr102ce,True,8,70.0,n6n9ntkew8ut3xs,2025-12-05 10:19:46.550Z,25.0,15.0,20,friend,0.369,0.204,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.041Z,mt56872w8tngo2i,n6dpo5m5e9a6wel,False,9,70.0,byz2urfgebs2koo,2025-12-05 10:19:46.553Z,25.0,15.0,20,friend,0.037,0.179,10.0,v2_advanced,,,,False,0
False,pbc_3452021157,recommendation_logs,2025-12-05 10:18:46.045Z,mt56872w8tngo2i,1er2msmmwjrw99i,False,10,68.75,4e5yd6e0nz5dnvt,2025-12-05 10:19:46.556Z,0.0,30.0,20,friend,0.044,0.177,18.75,v2_advanced,,,,False,0
